Region,Latitude Dec,Longitude Dec
NH,42.97111,-70.70107
NH,42.95813,-70.66881
NH,42.94515,-70.63657
NH,42.93216,-70.60434
NH,42.9948,-70.68341
NH,42.98182,-70.65114
NH,42.96883,-70.61889
NH,42.95584,-70.58665
NH,43.01849,-70.66573
NH,43.0055,-70.63345
NH,42.99251,-70.60119
NH,42.97951,-70.56894
Maine,43.48012,-70.03962
Maine,43.49668,-70.01166
Maine,43.43512,-70.02744
Maine,43.43365,-69.99408
Maine,43.51429,-69.98353
Maine,43.47317,-69.99542
Maine,43.45126,-69.96597
Maine,43.49077,-69.96729
Maine,43.46886,-69.93784
Maine,43.50837,-69.93914
Maine,43.48645,-69.90969
Maine,43.45463,-70.04422
Maine,43.43701,-70.07231
Maine,43.55241,-69.92386
Maine,43.53587,-69.95186
Maine,43.57,-69.89567
Maine,43.41911,-70.07682
